directory,experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,test_to_log,cursor_visibility,rotation,trial_type,target_angle,example_object_movement_filename
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,35,2,3,198.1682,200.746,A,True,30,rotated_1_1,130,example_object_movement_T035.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,36,2,4,200.746,203.4019,A,True,30,rotated_1_1,140,example_object_movement_T036.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,37,2,5,203.4019,206.024,A,True,30,rotated_1_1,140,example_object_movement_T037.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,38,2,6,206.024,208.7461,A,True,30,rotated_1_1,130,example_object_movement_T038.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,39,2,7,208.7461,211.2906,A,True,30,rotated_1_1,140,example_object_movement_T039.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,40,2,8,211.2906,214.0461,A,True,30,rotated_1_1,130,example_object_movement_T040.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,41,2,9,214.0461,216.7684,A,True,30,rotated_1_1,130,example_object_movement_T041.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,42,2,10,216.7684,219.4018,A,True,30,rotated_1_1,140,example_object_movement_T042.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,43,2,11,219.4018,222.0463,A,True,30,rotated_1_1,140,example_object_movement_T043.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,44,2,12,222.0463,224.6685,A,True,30,rotated_1_1,130,example_object_movement_T044.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,45,2,13,224.6685,227.2907,A,True,30,rotated_1_1,130,example_object_movement_T045.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,46,2,14,227.2907,229.9462,A,True,30,rotated_1_1,140,example_object_movement_T046.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,47,2,15,229.9462,232.5467,A,True,30,rotated_1_1,130,example_object_movement_T047.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,48,2,16,232.5467,235.0908,A,True,30,rotated_1_1,140,example_object_movement_T048.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,49,2,17,235.0908,237.6689,A,True,30,rotated_1_1,140,example_object_movement_T049.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,50,2,18,237.6689,240.2242,A,True,30,rotated_1_1,130,example_object_movement_T050.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,51,2,19,240.2242,242.6243,A,True,30,rotated_1_1,140,example_object_movement_T051.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,52,2,20,242.6243,245.1467,A,True,30,rotated_1_1,130,example_object_movement_T052.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,53,2,21,245.1467,247.5465,A,True,30,rotated_1_1,130,example_object_movement_T053.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,54,2,22,247.5465,250.0466,A,True,30,rotated_1_1,140,example_object_movement_T054.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,55,2,23,250.0466,253.2801,A,True,30,rotated_1_1,140,example_object_movement_T055.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,56,2,24,253.2801,255.9244,A,True,30,rotated_1_1,130,example_object_movement_T056.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,57,2,25,255.9244,259.8244,A,True,30,rotated_1_1,130,example_object_movement_T057.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,58,2,26,259.8244,264.3802,A,True,30,rotated_1_1,140,example_object_movement_T058.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,59,2,27,264.3802,267.0468,A,True,30,rotated_1_1,140,example_object_movement_T059.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,60,2,28,267.0468,269.769,A,True,30,rotated_1_1,130,example_object_movement_T060.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,61,2,29,269.769,272.9806,A,True,30,rotated_1_1,130,example_object_movement_T061.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,62,2,30,272.9806,275.791,A,True,30,rotated_1_1,140,example_object_movement_T062.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,63,2,31,275.791,288.5693,A,True,30,rotated_1_1,130,example_object_movement_T063.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,64,2,32,288.5693,291.3023,A,True,30,rotated_1_1,140,example_object_movement_T064.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,65,2,33,291.3023,296.6805,A,True,30,rotated_1_1,140,example_object_movement_T065.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,66,2,34,296.6805,299.6806,A,True,30,rotated_1_1,130,example_object_movement_T066.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,67,2,35,299.6806,302.903,A,True,30,rotated_1_1,130,example_object_movement_T067.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,68,2,36,302.903,305.6472,A,True,30,rotated_1_1,140,example_object_movement_T068.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,69,2,37,305.6472,309.2029,A,True,30,rotated_1_1,140,example_object_movement_T069.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,70,2,38,309.2029,312.0472,A,True,30,rotated_1_1,130,example_object_movement_T070.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,71,2,39,312.0472,316.825,A,True,30,rotated_1_1,130,example_object_movement_T071.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,72,2,40,316.825,321.2697,A,True,30,rotated_1_1,140,example_object_movement_T072.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,73,2,41,321.2697,324.1028,A,True,30,rotated_1_1,140,example_object_movement_T073.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,74,2,42,324.1028,326.8471,A,True,30,rotated_1_1,130,example_object_movement_T074.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,75,2,43,326.8471,332.6029,A,True,30,rotated_1_1,140,example_object_movement_T075.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,76,2,44,332.6029,336.4808,A,True,30,rotated_1_1,130,example_object_movement_T076.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,77,2,45,336.4808,340.1473,A,True,30,rotated_1_1,130,example_object_movement_T077.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,78,2,46,340.1473,342.8253,A,True,30,rotated_1_1,140,example_object_movement_T078.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,79,2,47,342.8253,347.481,A,True,30,rotated_1_1,140,example_object_movement_T079.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,80,2,48,347.481,351.27,A,True,30,rotated_1_1,130,example_object_movement_T080.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,81,2,49,351.27,355.0254,A,True,30,rotated_1_1,140,example_object_movement_T081.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,82,2,50,355.0254,359.3255,A,True,30,rotated_1_1,130,example_object_movement_T082.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,83,2,51,359.3255,365.6033,A,True,30,rotated_1_1,140,example_object_movement_T083.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,84,2,52,365.6033,369.3706,A,True,30,rotated_1_1,130,example_object_movement_T084.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,85,2,53,369.3706,373.4701,A,True,30,rotated_1_1,130,example_object_movement_T085.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,86,2,54,373.4701,377.8483,A,True,30,rotated_1_1,140,example_object_movement_T086.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,87,2,55,377.8483,382.0258,A,True,30,rotated_1_1,140,example_object_movement_T087.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,88,2,56,382.0258,385.5037,A,True,30,rotated_1_1,130,example_object_movement_T088.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,89,2,57,385.5037,388.6259,A,True,30,rotated_1_1,140,example_object_movement_T089.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,90,2,58,388.6259,391.6815,A,True,30,rotated_1_1,130,example_object_movement_T090.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,91,2,59,391.6815,395.3815,A,True,30,rotated_1_1,140,example_object_movement_T091.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,92,2,60,395.3815,399.126,A,True,30,rotated_1_1,130,example_object_movement_T092.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,93,2,61,399.126,402.5481,A,True,30,rotated_1_1,130,example_object_movement_T093.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,94,2,62,402.5481,405.9482,A,True,30,rotated_1_1,140,example_object_movement_T094.csv
A_GLCW_ARCCW/g3rg35ty/S001,A_GLCW_ARCCW,g3rg35ty,1,95,2,63,405.9482,409.7481,A,True,30,rotated_1_1,130,example_object_movement_T095.csv
